ctgov,dist,parameter1,parameter2,r
NCT00954447,gengamma,Q,Q,2.096e-01
NCT00970632,gengamma,mu,mu,6.575e-02
NCT00970632,gengamma,mu,sigma,2.696e-02
NCT00970632,gengamma,mu,Q,1.000e-02
NCT00970632,gengamma,sigma,mu,2.696e-02
NCT00970632,gengamma,sigma,sigma,1.328e-02
NCT00970632,gengamma,sigma,Q,5.158e-03
NCT00970632,gengamma,Q,mu,1.000e-02
NCT00970632,gengamma,Q,sigma,5.158e-03
NCT00970632,gengamma,Q,Q,2.022e-03
NCT00975195,gengamma,mu,mu,1.084e-02
NCT00975195,gengamma,mu,sigma,3.790e-03
NCT00975195,gengamma,mu,Q,8.362e-04
NCT00975195,gengamma,sigma,mu,3.790e-03
NCT00975195,gengamma,sigma,sigma,1.742e-03
NCT00975195,gengamma,sigma,Q,4.755e-04
NCT00975195,gengamma,Q,mu,8.362e-04
NCT00975195,gengamma,Q,sigma,4.755e-04
NCT00975195,gengamma,Q,Q,1.450e-04
NCT00996658,gengamma,mu,mu,1.801e-01
NCT00996658,gengamma,mu,sigma,6.688e-02
NCT00996658,gengamma,mu,Q,1.069e-02
NCT00996658,gengamma,sigma,mu,6.688e-02
NCT00996658,gengamma,sigma,sigma,2.969e-02
NCT00996658,gengamma,sigma,Q,5.498e-03
NCT00996658,gengamma,Q,mu,1.069e-02
NCT00996658,gengamma,Q,sigma,5.498e-03
NCT00996658,gengamma,Q,Q,1.115e-03
NCT01064687,gengamma,mu,mu,7.480e-02
NCT01064687,gengamma,mu,sigma,2.184e-02
NCT01064687,gengamma,mu,Q,5.229e-03
NCT01064687,gengamma,sigma,mu,2.184e-02
NCT01064687,gengamma,sigma,sigma,7.546e-03
NCT01064687,gengamma,sigma,Q,2.071e-03
NCT01064687,gengamma,Q,mu,5.229e-03
NCT01064687,gengamma,Q,sigma,2.071e-03
NCT01064687,gengamma,Q,Q,6.192e-04
NCT01075282,gengamma,mu,mu,1.953e-01
NCT01075282,gengamma,mu,sigma,-7.536e-01
NCT01075282,gengamma,mu,Q,1.503e+00
NCT01075282,gengamma,sigma,mu,-7.536e-01
NCT01075282,gengamma,sigma,sigma,1.026e+01
NCT01075282,gengamma,sigma,Q,-1.951e+01
NCT01075282,gengamma,Q,mu,1.503e+00
NCT01075282,gengamma,Q,sigma,-1.951e+01
NCT01075282,gengamma,Q,Q,3.712e+01
NCT01084005,gengamma,mu,mu,1.266e+00
NCT01084005,gengamma,mu,sigma,1.395e+00
NCT01084005,gengamma,mu,Q,-1.993e+00
NCT01084005,gengamma,sigma,mu,1.395e+00
NCT01084005,gengamma,sigma,sigma,1.890e+00
NCT01084005,gengamma,sigma,Q,-2.870e+00
NCT01084005,gengamma,Q,mu,-1.993e+00
NCT01084005,gengamma,Q,sigma,-2.870e+00
NCT01084005,gengamma,Q,Q,4.445e+00
NCT01087502,gengamma,mu,mu,1.061e-01
NCT01087502,gengamma,mu,sigma,1.559e-01
NCT01087502,gengamma,mu,Q,-1.702e-01
NCT01087502,gengamma,sigma,mu,1.559e-01
NCT01087502,gengamma,sigma,sigma,5.641e-01
NCT01087502,gengamma,sigma,Q,-7.481e-01
NCT01087502,gengamma,Q,mu,-1.702e-01
NCT01087502,gengamma,Q,sigma,-7.481e-01
NCT01087502,gengamma,Q,Q,1.027e+00
NCT01126437,gengamma,mu,mu,1.221e-02
NCT01126437,gengamma,mu,sigma,-5.837e-02
NCT01126437,gengamma,mu,Q,1.268e-01
NCT01126437,gengamma,sigma,mu,-5.837e-02
NCT01126437,gengamma,sigma,sigma,3.209e-01
NCT01126437,gengamma,sigma,Q,-6.910e-01
NCT01126437,gengamma,Q,mu,1.268e-01
NCT01126437,gengamma,Q,sigma,-6.910e-01
NCT01126437,gengamma,Q,Q,1.489e+00
NCT01126580,gengamma,mu,mu,8.659e-02
NCT01126580,gengamma,mu,sigma,-3.171e-02
NCT01126580,gengamma,mu,Q,1.232e-01
NCT01126580,gengamma,sigma,mu,-3.171e-02
NCT01126580,gengamma,sigma,sigma,6.153e-02
NCT01126580,gengamma,sigma,Q,-1.565e-01
NCT01126580,gengamma,Q,mu,1.232e-01
NCT01126580,gengamma,Q,sigma,-1.565e-01
NCT01126580,gengamma,Q,Q,4.309e-01
NCT01131676,gengamma,mu,mu,3.653e-03
NCT01131676,gengamma,mu,sigma,-9.069e-03
NCT01131676,gengamma,mu,Q,1.914e-02
NCT01131676,gengamma,sigma,mu,-9.069e-03
NCT01131676,gengamma,sigma,sigma,4.895e-02
NCT01131676,gengamma,sigma,Q,-9.089e-02
NCT01131676,gengamma,Q,mu,1.914e-02
NCT01131676,gengamma,Q,sigma,-9.089e-02
NCT01131676,gengamma,Q,Q,1.756e-01
NCT01159600,gengamma,mu,mu,7.417e-01
NCT01159600,gengamma,mu,sigma,4.498e-01
NCT01159600,gengamma,mu,Q,-5.095e-01
NCT01159600,gengamma,sigma,mu,4.498e-01
NCT01159600,gengamma,sigma,sigma,3.114e-01
NCT01159600,gengamma,sigma,Q,-3.733e-01
NCT01159600,gengamma,Q,mu,-5.095e-01
NCT01159600,gengamma,Q,sigma,-3.733e-01
NCT01159600,gengamma,Q,Q,4.601e-01
NCT01164501,gengamma,mu,mu,1.247e-01
NCT01164501,gengamma,mu,sigma,4.164e-02
NCT01164501,gengamma,mu,Q,-2.951e-02
NCT01164501,gengamma,sigma,mu,4.164e-02
NCT01164501,gengamma,sigma,sigma,1.101e-01
NCT01164501,gengamma,sigma,Q,-2.157e-01
NCT01164501,gengamma,Q,mu,-2.951e-02
NCT01164501,gengamma,Q,sigma,-2.157e-01
NCT01164501,gengamma,Q,Q,4.546e-01
NCT01167881,gengamma,mu,mu,3.525e-01
NCT01167881,gengamma,mu,sigma,-1.373e-02
NCT01167881,gengamma,mu,Q,2.575e-01
NCT01167881,gengamma,sigma,mu,-1.373e-02
NCT01167881,gengamma,sigma,sigma,4.264e-03
NCT01167881,gengamma,sigma,Q,-2.040e-02
NCT01167881,gengamma,Q,mu,2.575e-01
NCT01167881,gengamma,Q,sigma,-2.040e-02
NCT01167881,gengamma,Q,Q,2.249e-01
NCT01177813,gengamma,mu,mu,8.474e+02
NCT01177813,gengamma,mu,sigma,-4.290e+03
NCT01177813,gengamma,mu,Q,1.164e+04
NCT01177813,gengamma,sigma,mu,-4.290e+03
NCT01177813,gengamma,sigma,sigma,2.172e+04
NCT01177813,gengamma,sigma,Q,-5.895e+04
NCT01177813,gengamma,Q,mu,1.164e+04
NCT01177813,gengamma,Q,sigma,-5.895e+04
NCT01177813,gengamma,Q,Q,1.600e+05
NCT01191268,gengamma,mu,mu,5.353e-01
NCT01191268,gengamma,mu,sigma,-2.115e-02
NCT01191268,gengamma,mu,Q,5.332e-01
NCT01191268,gengamma,sigma,mu,-2.115e-02
NCT01191268,gengamma,sigma,sigma,5.799e-03
NCT01191268,gengamma,sigma,Q,-3.435e-02
NCT01191268,gengamma,Q,mu,5.332e-01
NCT01191268,gengamma,Q,sigma,-3.435e-02
NCT01191268,gengamma,Q,Q,5.807e-01
NCT01191944,gengamma,mu,mu,8.089e+01
NCT01191944,gengamma,mu,sigma,-2.318e+02
NCT01191944,gengamma,mu,Q,6.698e+02
NCT01191944,gengamma,sigma,mu,-2.318e+02
NCT01191944,gengamma,sigma,sigma,6.712e+02
NCT01191944,gengamma,sigma,Q,-1.938e+03
NCT01191944,gengamma,Q,mu,6.698e+02
NCT01191944,gengamma,Q,sigma,-1.938e+03
NCT01191944,gengamma,Q,Q,5.595e+03
NCT01194830,gengamma,mu,mu,4.112e-01
NCT01194830,gengamma,mu,sigma,-9.374e-02
NCT01194830,gengamma,mu,Q,4.704e-01
NCT01194830,gengamma,sigma,mu,-9.374e-02
NCT01194830,gengamma,sigma,sigma,6.457e-02
NCT01194830,gengamma,sigma,Q,-2.026e-01
NCT01194830,gengamma,Q,mu,4.704e-01
NCT01194830,gengamma,Q,sigma,-2.026e-01
NCT01194830,gengamma,Q,Q,7.767e-01
NCT01204294,gengamma,mu,mu,3.614e-01
NCT01204294,gengamma,mu,sigma,7.009e-02
NCT01204294,gengamma,mu,Q,4.119e-02
NCT01204294,gengamma,sigma,mu,7.009e-02
NCT01204294,gengamma,sigma,sigma,1.565e-02
NCT01204294,gengamma,sigma,Q,9.153e-03
NCT01204294,gengamma,Q,mu,4.119e-02
NCT01204294,gengamma,Q,sigma,9.153e-03
NCT01204294,gengamma,Q,Q,5.355e-03
NCT01210001,gengamma,mu,mu,3.125e-01
NCT01210001,gengamma,mu,sigma,3.698e-01
NCT01210001,gengamma,mu,Q,-4.980e-01
NCT01210001,gengamma,sigma,mu,3.698e-01
NCT01210001,gengamma,sigma,sigma,9.467e+00
NCT01210001,gengamma,sigma,Q,-1.630e+01
NCT01210001,gengamma,Q,mu,-4.980e-01
NCT01210001,gengamma,Q,sigma,-1.630e+01
NCT01210001,gengamma,Q,Q,2.815e+01
NCT01214239,gengamma,mu,mu,6.054e-01
NCT01214239,gengamma,mu,sigma,3.707e-01
NCT01214239,gengamma,mu,Q,-4.597e-01
NCT01214239,gengamma,sigma,mu,3.707e-01
NCT01214239,gengamma,sigma,sigma,4.048e-01
NCT01214239,gengamma,sigma,Q,-6.307e-01
NCT01214239,gengamma,Q,mu,-4.597e-01
NCT01214239,gengamma,Q,sigma,-6.307e-01
NCT01214239,gengamma,Q,Q,1.050e+00
NCT01306214,gengamma,mu,mu,1.578e-01
NCT01306214,gengamma,mu,sigma,5.368e-01
NCT01306214,gengamma,mu,Q,-7.246e-01
NCT01306214,gengamma,sigma,mu,5.368e-01
NCT01306214,gengamma,sigma,sigma,2.388e+00
NCT01306214,gengamma,sigma,Q,-3.331e+00
NCT01306214,gengamma,Q,mu,-7.246e-01
NCT01306214,gengamma,Q,sigma,-3.331e+00
NCT01306214,gengamma,Q,Q,4.668e+00
NCT01335464,gengamma,mu,mu,2.672e-02
NCT01335464,gengamma,mu,sigma,9.618e-03
NCT01335464,gengamma,mu,Q,5.051e-03
NCT01335464,gengamma,sigma,mu,9.618e-03
NCT01335464,gengamma,sigma,sigma,5.128e-03
NCT01335464,gengamma,sigma,Q,2.764e-03
NCT01335464,gengamma,Q,mu,5.051e-03
NCT01335464,gengamma,Q,sigma,2.764e-03
NCT01335464,gengamma,Q,Q,1.491e-03
NCT01335477,gengamma,mu,mu,4.558e-02
NCT01335477,gengamma,mu,sigma,6.409e-02
NCT01335477,gengamma,mu,Q,-6.905e-02
NCT01335477,gengamma,sigma,mu,6.409e-02
NCT01335477,gengamma,sigma,sigma,2.025e-01
NCT01335477,gengamma,sigma,Q,-2.622e-01
NCT01335477,gengamma,Q,mu,-6.905e-02
NCT01335477,gengamma,Q,sigma,-2.622e-01
NCT01335477,gengamma,Q,Q,3.529e-01
NCT01368081,gengamma,mu,mu,4.201e+02
NCT01368081,gengamma,mu,sigma,-2.042e+03
NCT01368081,gengamma,mu,Q,6.031e+03
NCT01368081,gengamma,sigma,mu,-2.042e+03
NCT01368081,gengamma,sigma,sigma,9.929e+03
NCT01368081,gengamma,sigma,Q,-2.932e+04
NCT01368081,gengamma,Q,mu,6.031e+03
NCT01368081,gengamma,Q,sigma,-2.932e+04
NCT01368081,gengamma,Q,Q,8.661e+04
NCT01370005,gengamma,mu,mu,1.796e+00
NCT01370005,gengamma,mu,sigma,-4.581e-01
NCT01370005,gengamma,mu,Q,3.177e+00
NCT01370005,gengamma,sigma,mu,-4.581e-01
NCT01370005,gengamma,sigma,sigma,2.110e-01
NCT01370005,gengamma,sigma,Q,-1.153e+00
NCT01370005,gengamma,Q,mu,3.177e+00
NCT01370005,gengamma,Q,sigma,-1.153e+00
NCT01370005,gengamma,Q,Q,6.891e+00
NCT01422876,gengamma,mu,mu,8.290e-02
NCT01422876,gengamma,mu,sigma,2.150e-01
NCT01422876,gengamma,mu,Q,-3.007e-01
NCT01422876,gengamma,sigma,mu,2.150e-01
NCT01422876,gengamma,sigma,sigma,9.610e-01
NCT01422876,gengamma,sigma,Q,-1.421e+00
NCT01422876,gengamma,Q,mu,-3.007e-01
NCT01422876,gengamma,Q,sigma,-1.421e+00
NCT01422876,gengamma,Q,Q,2.112e+00
NCT01558271,gengamma,mu,mu,3.590e+02
NCT01558271,gengamma,mu,sigma,-1.384e+03
NCT01558271,gengamma,mu,Q,3.323e+03
NCT01558271,gengamma,sigma,mu,-1.384e+03
NCT01558271,gengamma,sigma,sigma,5.344e+03
NCT01558271,gengamma,sigma,Q,-1.283e+04
NCT01558271,gengamma,Q,mu,3.323e+03
NCT01558271,gengamma,Q,sigma,-1.283e+04
NCT01558271,gengamma,Q,Q,3.079e+04
NCT01621178,gengamma,mu,mu,8.330e-02
NCT01621178,gengamma,mu,sigma,2.404e-02
NCT01621178,gengamma,mu,Q,3.876e-03
NCT01621178,gengamma,sigma,mu,2.404e-02
NCT01621178,gengamma,sigma,sigma,8.745e-03
NCT01621178,gengamma,sigma,Q,1.942e-03
NCT01621178,gengamma,Q,mu,3.876e-03
NCT01621178,gengamma,Q,sigma,1.942e-03
NCT01621178,gengamma,Q,Q,5.559e-04
NCT01624259,gengamma,mu,mu,2.376e+00
NCT01624259,gengamma,mu,sigma,-5.108e-01
NCT01624259,gengamma,mu,Q,3.235e+00
NCT01624259,gengamma,sigma,mu,-5.108e-01
NCT01624259,gengamma,sigma,sigma,1.943e-01
NCT01624259,gengamma,sigma,Q,-9.730e-01
NCT01624259,gengamma,Q,mu,3.235e+00
NCT01624259,gengamma,Q,sigma,-9.730e-01
NCT01624259,gengamma,Q,Q,5.339e+00
NCT01694771,gengamma,mu,mu,9.414e-01
NCT01694771,gengamma,mu,sigma,8.611e-01
NCT01694771,gengamma,mu,Q,-9.243e-01
NCT01694771,gengamma,sigma,mu,8.611e-01
NCT01694771,gengamma,sigma,sigma,8.368e-01
NCT01694771,gengamma,sigma,Q,-9.220e-01
NCT01694771,gengamma,Q,mu,-9.243e-01
NCT01694771,gengamma,Q,sigma,-9.220e-01
NCT01694771,gengamma,Q,Q,1.030e+00
NCT01708902,gengamma,mu,mu,2.192e-01
NCT01708902,gengamma,mu,sigma,4.720e-02
NCT01708902,gengamma,mu,Q,1.177e-02
NCT01708902,gengamma,sigma,mu,4.720e-02
NCT01708902,gengamma,sigma,sigma,1.172e-02
NCT01708902,gengamma,sigma,Q,3.328e-03
NCT01708902,gengamma,Q,mu,1.177e-02
NCT01708902,gengamma,Q,sigma,3.328e-03
NCT01708902,gengamma,Q,Q,1.037e-03
NCT01719003,gengamma,mu,mu,1.303e-01
NCT01719003,gengamma,mu,sigma,4.193e-01
NCT01719003,gengamma,mu,Q,-6.765e-01
NCT01719003,gengamma,sigma,mu,4.193e-01
NCT01719003,gengamma,sigma,sigma,1.339e+01
NCT01719003,gengamma,sigma,Q,-2.317e+01
NCT01719003,gengamma,Q,mu,-6.765e-01
NCT01719003,gengamma,Q,sigma,-2.317e+01
NCT01719003,gengamma,Q,Q,4.013e+01
NCT01769378,gengamma,mu,mu,5.093e-03
NCT01769378,gengamma,mu,sigma,6.793e-02
NCT01769378,gengamma,mu,Q,4.137e+00
NCT01769378,gengamma,sigma,mu,6.793e-02
NCT01769378,gengamma,sigma,sigma,9.224e-01
NCT01769378,gengamma,sigma,Q,5.492e+01
NCT01769378,gengamma,Q,mu,4.137e+00
NCT01769378,gengamma,Q,sigma,5.492e+01
NCT01769378,gengamma,Q,Q,3.424e+03
NCT02152371,gengamma,mu,mu,4.577e+00
NCT02152371,gengamma,mu,sigma,9.793e-02
NCT02152371,gengamma,mu,Q,5.173e+00
NCT02152371,gengamma,sigma,mu,9.793e-02
NCT02152371,gengamma,sigma,sigma,2.248e-02
NCT02152371,gengamma,sigma,Q,3.025e-02
NCT02152371,gengamma,Q,mu,5.173e+00
NCT02152371,gengamma,Q,sigma,3.025e-02
NCT02152371,gengamma,Q,Q,6.298e+00
NCT02172287,gengamma,mu,mu,5.003e-01
NCT02172287,gengamma,mu,sigma,-1.073e-01
NCT02172287,gengamma,mu,Q,5.083e-01
NCT02172287,gengamma,sigma,mu,-1.073e-01
NCT02172287,gengamma,sigma,sigma,4.731e-02
NCT02172287,gengamma,sigma,Q,-1.674e-01
NCT02172287,gengamma,Q,mu,5.083e-01
NCT02172287,gengamma,Q,sigma,-1.674e-01
NCT02172287,gengamma,Q,Q,6.679e-01
NCT02172586,gengamma,mu,mu,1.488e-01
NCT02172586,gengamma,mu,sigma,4.339e-02
NCT02172586,gengamma,mu,Q,1.211e-02
NCT02172586,gengamma,sigma,mu,4.339e-02
NCT02172586,gengamma,sigma,sigma,1.556e-02
NCT02172586,gengamma,sigma,Q,4.949e-03
NCT02172586,gengamma,Q,mu,1.211e-02
NCT02172586,gengamma,Q,sigma,4.949e-03
NCT02172586,gengamma,Q,Q,1.678e-03
NCT02175355,gengamma,mu,mu,1.561e-01
NCT02175355,gengamma,mu,sigma,1.188e-01
NCT02175355,gengamma,mu,Q,-1.811e-01
NCT02175355,gengamma,sigma,mu,1.188e-01
NCT02175355,gengamma,sigma,sigma,2.277e-01
NCT02175355,gengamma,sigma,Q,-4.682e-01
NCT02175355,gengamma,Q,mu,-1.811e-01
NCT02175355,gengamma,Q,sigma,-4.682e-01
NCT02175355,gengamma,Q,Q,1.012e+00
NCT02177344,gengamma,mu,mu,2.146e-01
NCT02177344,gengamma,mu,sigma,5.007e-02
NCT02177344,gengamma,mu,Q,-6.903e-03
NCT02177344,gengamma,sigma,mu,5.007e-02
NCT02177344,gengamma,sigma,sigma,1.357e-02
NCT02177344,gengamma,sigma,Q,-8.954e-04
NCT02177344,gengamma,Q,mu,-6.903e-03
NCT02177344,gengamma,Q,sigma,-8.954e-04
NCT02177344,gengamma,Q,Q,4.923e-04
NCT02177396,gengamma,mu,mu,5.596e-01
NCT02177396,gengamma,mu,sigma,-1.564e-01
NCT02177396,gengamma,mu,Q,7.873e-01
NCT02177396,gengamma,sigma,mu,-1.564e-01
NCT02177396,gengamma,sigma,sigma,2.926e-01
NCT02177396,gengamma,sigma,Q,-9.099e-01
NCT02177396,gengamma,Q,mu,7.873e-01
NCT02177396,gengamma,Q,sigma,-9.099e-01
NCT02177396,gengamma,Q,Q,3.041e+00
NCT02177461,gengamma,mu,mu,3.006e-02
NCT02177461,gengamma,mu,sigma,1.259e-03
NCT02177461,gengamma,mu,Q,1.736e-02
NCT02177461,gengamma,sigma,mu,1.259e-03
NCT02177461,gengamma,sigma,sigma,4.646e-02
NCT02177461,gengamma,sigma,Q,-7.585e-02
NCT02177461,gengamma,Q,mu,1.736e-02
NCT02177461,gengamma,Q,sigma,-7.585e-02
NCT02177461,gengamma,Q,Q,1.459e-01
NCT02183064,gengamma,mu,mu,1.830e+00
NCT02183064,gengamma,mu,sigma,-8.448e-02
NCT02183064,gengamma,mu,Q,1.479e+00
NCT02183064,gengamma,sigma,mu,-8.448e-02
NCT02183064,gengamma,sigma,sigma,1.298e-02
NCT02183064,gengamma,sigma,Q,-1.002e-01
NCT02183064,gengamma,Q,mu,1.479e+00
NCT02183064,gengamma,Q,sigma,-1.002e-01
NCT02183064,gengamma,Q,Q,1.324e+00
NCT02200653,gengamma,mu,mu,1.247e+03
NCT02200653,gengamma,mu,sigma,-8.336e+03
NCT02200653,gengamma,mu,Q,4.127e+04
NCT02200653,gengamma,sigma,mu,-8.336e+03
NCT02200653,gengamma,sigma,sigma,5.571e+04
NCT02200653,gengamma,sigma,Q,-2.758e+05
NCT02200653,gengamma,Q,mu,4.127e+04
NCT02200653,gengamma,Q,sigma,-2.758e+05
NCT02200653,gengamma,Q,Q,1.366e+06
NCT02240680,gengamma,mu,mu,2.917e+00
NCT02240680,gengamma,mu,sigma,1.418e+00
NCT02240680,gengamma,mu,Q,-1.709e+00
NCT02240680,gengamma,sigma,mu,1.418e+00
NCT02240680,gengamma,sigma,sigma,8.673e-01
NCT02240680,gengamma,sigma,Q,-1.149e+00
NCT02240680,gengamma,Q,mu,-1.709e+00
NCT02240680,gengamma,Q,sigma,-1.149e+00
NCT02240680,gengamma,Q,Q,1.585e+00
NCT02489968,gengamma,mu,mu,2.787e+00
NCT02489968,gengamma,mu,sigma,-4.159e-01
NCT02489968,gengamma,mu,Q,3.530e+00
NCT02489968,gengamma,sigma,mu,-4.159e-01
NCT02489968,gengamma,sigma,sigma,1.513e-01
NCT02489968,gengamma,sigma,Q,-8.438e-01
NCT02489968,gengamma,Q,mu,3.530e+00
NCT02489968,gengamma,Q,sigma,-8.438e-01
NCT02489968,gengamma,Q,Q,5.637e+00
NCT02750410,gengamma,mu,mu,3.698e+00
NCT02750410,gengamma,mu,sigma,-4.721e-01
NCT02750410,gengamma,mu,Q,4.689e+00
NCT02750410,gengamma,sigma,mu,-4.721e-01
NCT02750410,gengamma,sigma,sigma,1.408e-01
NCT02750410,gengamma,sigma,Q,-8.462e-01
NCT02750410,gengamma,Q,mu,4.689e+00
NCT02750410,gengamma,Q,sigma,-8.462e-01
NCT02750410,gengamma,Q,Q,6.790e+00
NCT00034840,gompertz,shape,shape,1.114e-04
NCT00034840,gompertz,shape,rate,-3.348e-03
NCT00034840,gompertz,rate,shape,-3.348e-03
NCT00034840,gompertz,rate,rate,1.319e-01
NCT00051558,gompertz,shape,shape,5.892e-08
NCT00051558,gompertz,shape,rate,-2.494e-05
NCT00051558,gompertz,rate,shape,-2.494e-05
NCT00051558,gompertz,rate,rate,1.599e-02
NCT00125918,gompertz,shape,shape,1.455e-05
NCT00125918,gompertz,shape,rate,-8.374e-04
NCT00125918,gompertz,rate,shape,-8.374e-04
NCT00125918,gompertz,rate,rate,6.406e-02
NCT00152984,gompertz,shape,shape,1.061e-04
NCT00152984,gompertz,shape,rate,-3.712e-03
NCT00152984,gompertz,rate,shape,-3.712e-03
NCT00152984,gompertz,rate,rate,1.924e-01
NCT00153023,gompertz,shape,shape,6.692e-07
NCT00153023,gompertz,shape,rate,-8.087e-05
NCT00153023,gompertz,rate,shape,-8.087e-05
NCT00153023,gompertz,rate,rate,1.580e-02
NCT00153088,gompertz,shape,shape,3.874e-07
NCT00153088,gompertz,shape,rate,-9.269e-05
NCT00153088,gompertz,rate,shape,-9.269e-05
NCT00153088,gompertz,rate,rate,3.394e-02
NCT00168831,gompertz,shape,shape,4.914e-07
NCT00168831,gompertz,shape,rate,-5.699e-05
NCT00168831,gompertz,rate,shape,-5.699e-05
NCT00168831,gompertz,rate,rate,1.055e-02
NCT00168844,gompertz,shape,shape,6.383e-07
NCT00168844,gompertz,shape,rate,-7.358e-05
NCT00168844,gompertz,rate,shape,-7.358e-05
NCT00168844,gompertz,rate,rate,1.356e-02
NCT00168857,gompertz,shape,shape,5.354e-07
NCT00168857,gompertz,shape,rate,-8.435e-05
NCT00168857,gompertz,rate,shape,-8.435e-05
NCT00168857,gompertz,rate,rate,1.907e-02
NCT00239421,gompertz,shape,shape,2.323e-04
NCT00239421,gompertz,shape,rate,-5.111e-03
NCT00239421,gompertz,rate,shape,-5.111e-03
NCT00239421,gompertz,rate,rate,1.524e-01
NCT00274014,gompertz,shape,shape,4.222e-07
NCT00274014,gompertz,shape,rate,-5.870e-05
NCT00274014,gompertz,rate,shape,-5.870e-05
NCT00274014,gompertz,rate,rate,1.213e-02
NCT00274053,gompertz,shape,shape,1.738e-06
NCT00274053,gompertz,shape,rate,-1.696e-04
NCT00274053,gompertz,rate,shape,-1.696e-04
NCT00274053,gompertz,rate,rate,2.582e-02
NCT00274079,gompertz,shape,shape,3.829e-05
NCT00274079,gompertz,shape,rate,-1.240e-03
NCT00274079,gompertz,rate,shape,-1.240e-03
NCT00274079,gompertz,rate,rate,6.015e-02
NCT00274547,gompertz,shape,shape,1.053e-06
NCT00274547,gompertz,shape,rate,-7.041e-05
NCT00274547,gompertz,rate,shape,-7.041e-05
NCT00274547,gompertz,rate,rate,7.292e-03
NCT00274560,gompertz,shape,shape,2.516e-05
NCT00274560,gompertz,shape,rate,-8.839e-04
NCT00274560,gompertz,rate,shape,-8.839e-04
NCT00274560,gompertz,rate,rate,4.554e-02
NCT00274573,gompertz,shape,shape,6.754e-06
NCT00274573,gompertz,shape,rate,-2.021e-04
NCT00274573,gompertz,rate,shape,-2.021e-04
NCT00274573,gompertz,rate,rate,9.509e-03
NCT00274599,gompertz,shape,shape,1.439e-05
NCT00274599,gompertz,shape,rate,-5.974e-04
NCT00274599,gompertz,rate,shape,-5.974e-04
NCT00274599,gompertz,rate,rate,3.617e-02
NCT00274612,gompertz,shape,shape,1.418e-05
NCT00274612,gompertz,shape,rate,-6.703e-04
NCT00274612,gompertz,rate,shape,-6.703e-04
NCT00274612,gompertz,rate,rate,4.387e-02
NCT00277264,gompertz,shape,shape,6.463e-07
NCT00277264,gompertz,shape,rate,-6.675e-05
NCT00277264,gompertz,rate,shape,-6.675e-05
NCT00277264,gompertz,rate,rate,1.148e-02
NCT00321854,gompertz,shape,shape,5.334e-07
NCT00321854,gompertz,shape,rate,-8.517e-05
NCT00321854,gompertz,rate,shape,-8.517e-05
NCT00321854,gompertz,rate,rate,2.050e-02
NCT00384930,gompertz,shape,shape,1.060e-05
NCT00384930,gompertz,shape,rate,-4.083e-04
NCT00384930,gompertz,rate,shape,-4.083e-04
NCT00384930,gompertz,rate,rate,2.262e-02
NCT00402233,gompertz,shape,shape,5.527e-05
NCT00402233,gompertz,shape,rate,-1.558e-03
NCT00402233,gompertz,rate,shape,-1.558e-03
