ctgov,dat
NCT00034840," t=1.000e+00, est=9.959e-01 ; t=2.000e+00, est=9.939e-01 ; t=1.200e+01, est=9.898e-01 ; t=1.300e+01, est=9.878e-01 ; t=1.600e+01, est=9.857e-01 ; t=1.700e+01, est=9.816e-01 ; t=1.900e+01, est=9.796e-01 ; t=2.600e+01, est=9.776e-01 ; t=2.700e+01, est=9.735e-01 ; t=2.800e+01, est=9.714e-01 ; t=3.300e+01, est=9.694e-01 ; t=3.400e+01, est=9.673e-01 ; t=3.600e+01, est=9.653e-01 ; t=3.700e+01, est=9.612e-01 ; t=3.900e+01, est=9.571e-01 ; t=4.000e+01, est=9.510e-01 ; t=4.100e+01, est=9.429e-01 ; t=4.600e+01, est=9.429e-01 ; t=4.700e+01, est=9.408e-01 ; t=4.900e+01, est=9.408e-01 ; t=5.000e+01, est=9.387e-01 ; t=5.200e+01, est=9.387e-01 ; t=5.300e+01, est=9.367e-01 ; t=5.400e+01, est=9.367e-01 ; t=5.500e+01, est=9.342e-01 ; t=8.400e+01, est=9.342e-01 "
NCT00051558," t=1.000e+00, est=9.977e-01 ; t=2.600e+01, est=9.836e-01 ; t=3.500e+01, est=9.650e-01 ; t=5.300e+01, est=9.509e-01 ; t=5.700e+01, est=9.416e-01 ; t=8.500e+01, est=9.299e-01 ; t=1.130e+02, est=8.972e-01 ; t=1.610e+02, est=8.645e-01 ; t=2.480e+02, est=8.271e-01 ; t=2.970e+02, est=8.154e-01 ; t=3.080e+02, est=8.037e-01 ; t=3.540e+02, est=7.921e-01 ; t=3.910e+02, est=7.734e-01 ; t=4.180e+02, est=7.500e-01 ; t=5.200e+02, est=7.336e-01 ; t=5.460e+02, est=7.243e-01 ; t=5.680e+02, est=7.056e-01 ; t=6.080e+02, est=6.939e-01 ; t=6.740e+02, est=6.869e-01 ; t=7.420e+02, est=6.565e-01 ; t=8.190e+02, est=6.355e-01 ; t=8.610e+02, est=6.308e-01 ; t=9.270e+02, est=6.098e-01 ; t=9.720e+02, est=6.051e-01 ; t=1.001e+03, est=5.888e-01 ; t=1.069e+03, est=5.794e-01 ; t=1.080e+03, est=5.699e-01 ; t=1.162e+03, est=5.699e-01 "
NCT00125918," t=1.000e+00, est=9.975e-01 ; t=5.000e+00, est=9.901e-01 ; t=1.600e+01, est=9.852e-01 ; t=2.200e+01, est=9.778e-01 ; t=2.600e+01, est=9.753e-01 ; t=2.700e+01, est=9.679e-01 ; t=2.900e+01, est=9.580e-01 ; t=3.500e+01, est=9.506e-01 ; t=4.000e+01, est=9.481e-01 ; t=4.800e+01, est=9.383e-01 ; t=5.300e+01, est=9.309e-01 ; t=5.400e+01, est=9.259e-01 ; t=5.700e+01, est=9.185e-01 ; t=6.900e+01, est=9.037e-01 ; t=7.900e+01, est=8.963e-01 ; t=8.100e+01, est=8.914e-01 ; t=8.200e+01, est=8.864e-01 ; t=8.300e+01, est=8.741e-01 ; t=8.500e+01, est=8.667e-01 ; t=1.010e+02, est=8.568e-01 ; t=1.070e+02, est=8.568e-01 ; t=1.080e+02, est=8.542e-01 ; t=1.100e+02, est=8.542e-01 ; t=1.110e+02, est=8.513e-01 ; t=1.120e+02, est=8.440e-01 ; t=1.140e+02, est=8.440e-01 ; t=1.150e+02, est=8.363e-01 ; t=1.460e+02, est=8.363e-01 "
NCT00152984," t=1.000e+00, est=9.936e-01 ; t=1.300e+01, est=9.915e-01 ; t=2.600e+01, est=9.894e-01 ; t=2.800e+01, est=9.873e-01 ; t=3.200e+01, est=9.852e-01 ; t=3.400e+01, est=9.831e-01 ; t=4.000e+01, est=9.809e-01 ; t=4.300e+01, est=9.788e-01 ; t=5.000e+01, est=9.767e-01 ; t=5.200e+01, est=9.725e-01 ; t=5.400e+01, est=9.703e-01 ; t=5.800e+01, est=9.703e-01 ; t=6.100e+01, est=9.682e-01 ; t=7.000e+01, est=9.682e-01 ; t=7.300e+01, est=9.661e-01 ; t=1.440e+02, est=9.661e-01 "
NCT00153023," t=1.000e+00, est=9.910e-01 ; t=8.000e+00, est=9.876e-01 ; t=1.600e+01, est=9.763e-01 ; t=2.100e+01, est=9.751e-01 ; t=2.500e+01, est=9.695e-01 ; t=2.900e+01, est=9.537e-01 ; t=3.200e+01, est=9.525e-01 ; t=3.700e+01, est=9.379e-01 ; t=4.100e+01, est=9.345e-01 ; t=6.200e+01, est=9.220e-01 ; t=6.600e+01, est=9.186e-01 ; t=6.700e+01, est=9.141e-01 ; t=7.100e+01, est=9.096e-01 ; t=8.100e+01, est=9.085e-01 ; t=1.300e+02, est=8.825e-01 ; t=1.480e+02, est=8.757e-01 ; t=1.750e+02, est=8.723e-01 ; t=1.950e+02, est=8.588e-01 ; t=2.580e+02, est=8.418e-01 ; t=2.630e+02, est=8.373e-01 ; t=2.790e+02, est=8.339e-01 ; t=2.920e+02, est=8.260e-01 ; t=3.200e+02, est=8.249e-01 ; t=3.360e+02, est=8.169e-01 ; t=3.580e+02, est=8.145e-01 ; t=3.620e+02, est=8.115e-01 ; t=4.190e+02, est=8.115e-01 "
NCT00153088," t=4.000e+00, est=9.981e-01 ; t=1.800e+01, est=9.867e-01 ; t=5.400e+01, est=9.734e-01 ; t=6.000e+01, est=9.602e-01 ; t=8.500e+01, est=9.507e-01 ; t=1.890e+02, est=9.298e-01 ; t=1.960e+02, est=9.203e-01 ; t=2.730e+02, est=9.070e-01 ; t=3.090e+02, est=8.918e-01 ; t=3.560e+02, est=8.918e-01 ; t=3.640e+02, est=8.859e-01 ; t=3.850e+02, est=8.859e-01 ; t=3.960e+02, est=8.761e-01 ; t=4.190e+02, est=8.761e-01 ; t=4.200e+02, est=8.677e-01 ; t=4.240e+02, est=8.616e-01 ; t=4.460e+02, est=8.616e-01 ; t=4.490e+02, est=8.415e-01 ; t=4.740e+02, est=8.415e-01 ; t=4.870e+02, est=8.209e-01 ; t=5.340e+02, est=8.163e-01 ; t=5.350e+02, est=8.112e-01 ; t=5.490e+02, est=8.061e-01 ; t=5.650e+02, est=8.061e-01 ; t=5.660e+02, est=8.008e-01 ; t=5.950e+02, est=8.008e-01 ; t=5.980e+02, est=7.951e-01 ; t=8.460e+02, est=7.951e-01 "
NCT00168831," t=1.000e+00, est=9.940e-01 ; t=8.000e+00, est=9.791e-01 ; t=1.300e+01, est=9.633e-01 ; t=1.400e+01, est=9.533e-01 ; t=1.700e+01, est=9.464e-01 ; t=2.700e+01, est=9.325e-01 ; t=3.200e+01, est=9.305e-01 ; t=3.500e+01, est=9.235e-01 ; t=5.200e+01, est=9.086e-01 ; t=5.500e+01, est=9.027e-01 ; t=5.600e+01, est=8.957e-01 ; t=7.200e+01, est=8.808e-01 ; t=8.000e+01, est=8.798e-01 ; t=1.100e+02, est=8.620e-01 ; t=1.120e+02, est=8.570e-01 ; t=1.180e+02, est=8.550e-01 ; t=1.240e+02, est=8.471e-01 ; t=2.210e+02, est=8.004e-01 ; t=2.250e+02, est=7.905e-01 ; t=2.320e+02, est=7.865e-01 ; t=2.640e+02, est=7.756e-01 ; t=2.870e+02, est=7.617e-01 ; t=3.140e+02, est=7.527e-01 ; t=3.350e+02, est=7.516e-01 ; t=3.410e+02, est=7.443e-01 ; t=3.480e+02, est=7.443e-01 ; t=3.490e+02, est=7.349e-01 ; t=4.430e+02, est=7.349e-01 "
NCT00168844," t=1.000e+00, est=9.939e-01 ; t=1.100e+01, est=9.817e-01 ; t=1.200e+01, est=9.786e-01 ; t=1.300e+01, est=9.654e-01 ; t=1.500e+01, est=9.573e-01 ; t=1.800e+01, est=9.532e-01 ; t=3.900e+01, est=9.400e-01 ; t=4.700e+01, est=9.379e-01 ; t=5.500e+01, est=9.257e-01 ; t=5.600e+01, est=9.186e-01 ; t=6.000e+01, est=9.145e-01 ; t=9.200e+01, est=9.023e-01 ; t=1.070e+02, est=8.922e-01 ; t=1.120e+02, est=8.850e-01 ; t=1.240e+02, est=8.779e-01 ; t=1.290e+02, est=8.718e-01 ; t=1.410e+02, est=8.708e-01 ; t=1.510e+02, est=8.647e-01 ; t=1.600e+02, est=8.637e-01 ; t=2.300e+02, est=8.311e-01 ; t=2.780e+02, est=8.159e-01 ; t=2.820e+02, est=8.118e-01 ; t=3.120e+02, est=8.037e-01 ; t=3.280e+02, est=8.037e-01 ; t=3.360e+02, est=8.015e-01 ; t=3.380e+02, est=7.966e-01 ; t=4.490e+02, est=7.966e-01 "
NCT00168857," t=1.000e+00, est=9.942e-01 ; t=1.100e+01, est=9.919e-01 ; t=1.400e+01, est=9.802e-01 ; t=3.100e+01, est=9.605e-01 ; t=4.900e+01, est=9.523e-01 ; t=5.400e+01, est=9.465e-01 ; t=5.500e+01, est=9.395e-01 ; t=6.500e+01, est=9.314e-01 ; t=7.500e+01, est=9.302e-01 ; t=8.800e+01, est=9.174e-01 ; t=1.170e+02, est=9.128e-01 ; t=1.320e+02, est=9.035e-01 ; t=1.520e+02, est=8.988e-01 ; t=1.720e+02, est=8.860e-01 ; t=1.900e+02, est=8.814e-01 ; t=2.030e+02, est=8.698e-01 ; t=2.720e+02, est=8.488e-01 ; t=2.760e+02, est=8.430e-01 ; t=2.840e+02, est=8.419e-01 ; t=2.890e+02, est=8.360e-01 ; t=3.010e+02, est=8.326e-01 ; t=3.380e+02, est=8.104e-01 ; t=3.540e+02, est=8.080e-01 ; t=3.620e+02, est=8.026e-01 ; t=3.630e+02, est=8.008e-01 ; t=3.640e+02, est=7.932e-01 ; t=4.330e+02, est=7.932e-01 "
NCT00239421," t=1.000e+00, est=9.983e-01 ; t=2.000e+00, est=9.967e-01 ; t=5.000e+00, est=9.950e-01 ; t=9.000e+00, est=9.917e-01 ; t=1.200e+01, est=9.901e-01 ; t=1.300e+01, est=9.851e-01 ; t=1.500e+01, est=9.818e-01 ; t=2.000e+01, est=9.802e-01 ; t=2.100e+01, est=9.785e-01 ; t=2.400e+01, est=9.769e-01 ; t=2.600e+01, est=9.752e-01 ; t=2.700e+01, est=9.736e-01 ; t=2.800e+01, est=9.736e-01 ; t=2.900e+01, est=9.719e-01 ; t=3.300e+01, est=9.702e-01 ; t=3.500e+01, est=9.669e-01 ; t=3.600e+01, est=9.636e-01 ; t=4.000e+01, est=9.636e-01 ; t=4.100e+01, est=9.584e-01 ; t=7.000e+01, est=9.584e-01 "
NCT00274014," t=1.000e+00, est=9.990e-01 ; t=1.100e+01, est=9.871e-01 ; t=1.400e+01, est=9.772e-01 ; t=1.800e+01, est=9.712e-01 ; t=3.900e+01, est=9.523e-01 ; t=4.000e+01, est=9.494e-01 ; t=4.200e+01, est=9.275e-01 ; t=4.400e+01, est=9.245e-01 ; t=6.400e+01, est=9.096e-01 ; t=7.500e+01, est=9.067e-01 ; t=8.300e+01, est=8.987e-01 ; t=8.400e+01, est=8.908e-01 ; t=9.500e+01, est=8.818e-01 ; t=1.240e+02, est=8.759e-01 ; t=1.630e+02, est=8.580e-01 ; t=1.730e+02, est=8.481e-01 ; t=1.760e+02, est=8.381e-01 ; t=1.830e+02, est=8.302e-01 ; t=1.980e+02, est=8.232e-01 ; t=2.390e+02, est=8.153e-01 ; t=2.670e+02, est=7.835e-01 ; t=2.990e+02, est=7.676e-01 ; t=3.330e+02, est=7.594e-01 ; t=3.470e+02, est=7.491e-01 ; t=3.480e+02, est=7.407e-01 ; t=3.500e+02, est=7.371e-01 ; t=5.830e+02, est=7.371e-01 "
NCT00274053," t=1.000e+00, est=9.982e-01 ; t=4.000e+00, est=9.927e-01 ; t=1.100e+01, est=9.873e-01 ; t=2.100e+01, est=9.745e-01 ; t=2.700e+01, est=9.727e-01 ; t=3.200e+01, est=9.655e-01 ; t=4.000e+01, est=9.600e-01 ; t=4.200e+01, est=9.545e-01 ; t=4.700e+01, est=9.491e-01 ; t=4.900e+01, est=9.418e-01 ; t=6.600e+01, est=9.327e-01 ; t=6.700e+01, est=9.291e-01 ; t=7.300e+01, est=9.218e-01 ; t=7.700e+01, est=9.073e-01 ; t=8.800e+01, est=8.964e-01 ; t=9.000e+01, est=8.873e-01 ; t=9.700e+01, est=8.818e-01 ; t=1.000e+02, est=8.727e-01 ; t=1.080e+02, est=8.691e-01 ; t=1.150e+02, est=8.600e-01 ; t=1.220e+02, est=8.582e-01 ; t=1.230e+02, est=8.545e-01 ; t=1.800e+02, est=8.436e-01 ; t=1.820e+02, est=8.382e-01 ; t=1.920e+02, est=8.272e-01 ; t=2.350e+02, est=8.072e-01 ; t=2.530e+02, est=8.034e-01 ; t=3.230e+02, est=8.034e-01 "
NCT00274079," t=1.000e+00, est=9.975e-01 ; t=3.000e+00, est=9.949e-01 ; t=4.000e+00, est=9.873e-01 ; t=6.000e+00, est=9.772e-01 ; t=7.000e+00, est=9.747e-01 ; t=8.000e+00, est=9.696e-01 ; t=1.200e+01, est=9.620e-01 ; t=1.400e+01, est=9.519e-01 ; t=1.700e+01, est=9.494e-01 ; t=1.800e+01, est=9.468e-01 ; t=2.400e+01, est=9.443e-01 ; t=2.900e+01, est=9.367e-01 ; t=3.300e+01, est=9.342e-01 ; t=3.400e+01, est=9.316e-01 ; t=3.700e+01, est=9.291e-01 ; t=3.800e+01, est=9.266e-01 ; t=3.900e+01, est=9.190e-01 ; t=4.100e+01, est=9.165e-01 ; t=4.500e+01, est=9.063e-01 ; t=5.000e+01, est=9.013e-01 ; t=5.100e+01, est=8.987e-01 ; t=6.200e+01, est=8.937e-01 ; t=6.300e+01, est=8.911e-01 ; t=6.600e+01, est=8.911e-01 ; t=7.000e+01, est=8.832e-01 ; t=7.600e+01, est=8.832e-01 ; t=8.000e+01, est=8.713e-01 ; t=1.010e+02, est=8.713e-01 "
NCT00274547," t=1.000e+00, est=9.934e-01 ; t=3.000e+00, est=9.885e-01 ; t=5.000e+00, est=9.781e-01 ; t=1.100e+01, est=9.710e-01 ; t=2.100e+01, est=9.508e-01 ; t=2.700e+01, est=9.420e-01 ; t=2.800e+01, est=9.371e-01 ; t=3.100e+01, est=9.344e-01 ; t=3.500e+01, est=9.256e-01 ; t=3.900e+01, est=9.196e-01 ; t=4.700e+01, est=9.120e-01 ; t=5.400e+01, est=8.983e-01 ; t=6.200e+01, est=8.912e-01 ; t=7.400e+01, est=8.715e-01 ; t=8.800e+01, est=8.595e-01 ; t=9.100e+01, est=8.518e-01 ; t=9.800e+01, est=8.409e-01 ; t=1.190e+02, est=8.245e-01 ; t=1.220e+02, est=8.207e-01 ; t=1.270e+02, est=8.190e-01 ; t=1.290e+02, est=8.157e-01 ; t=1.430e+02, est=8.114e-01 ; t=1.480e+02, est=8.070e-01 ; t=1.570e+02, est=8.048e-01 ; t=1.630e+02, est=7.993e-01 ; t=1.730e+02, est=7.949e-01 ; t=1.820e+02, est=7.868e-01 ; t=2.310e+02, est=7.868e-01 "
NCT00274560," t=1.000e+00, est=9.908e-01 ; t=2.000e+00, est=9.862e-01 ; t=6.000e+00, est=9.832e-01 ; t=8.000e+00, est=9.755e-01 ; t=1.400e+01, est=9.632e-01 ; t=1.800e+01, est=9.602e-01 ; t=2.100e+01, est=9.541e-01 ; t=2.400e+01, est=9.525e-01 ; t=2.600e+01, est=9.479e-01 ; t=3.800e+01, est=9.418e-01 ; t=4.000e+01, est=9.387e-01 ; t=4.100e+01, est=9.326e-01 ; t=4.600e+01, est=9.250e-01 ; t=5.700e+01, est=9.219e-01 ; t=6.300e+01, est=9.173e-01 ; t=6.800e+01, est=9.158e-01 ; t=7.100e+01, est=9.127e-01 ; t=7.200e+01, est=9.096e-01 ; t=7.600e+01, est=9.096e-01 ; t=7.800e+01, est=9.081e-01 ; t=8.100e+01, est=8.995e-01 ; t=8.300e+01, est=8.995e-01 ; t=8.500e+01, est=8.916e-01 ; t=8.700e+01, est=8.916e-01 ; t=8.800e+01, est=8.851e-01 ; t=1.100e+02, est=8.851e-01 "
NCT00274573," t=1.000e+00, est=9.926e-01 ; t=2.000e+00, est=9.907e-01 ; t=4.000e+00, est=9.759e-01 ; t=6.000e+00, est=9.648e-01 ; t=1.100e+01, est=9.525e-01 ; t=1.300e+01, est=9.432e-01 ; t=1.600e+01, est=9.346e-01 ; t=1.900e+01, est=9.216e-01 ; t=2.600e+01, est=9.099e-01 ; t=3.000e+01, est=9.000e-01 ; t=4.000e+01, est=8.846e-01 ; t=4.100e+01, est=8.722e-01 ; t=4.200e+01, est=8.636e-01 ; t=4.400e+01, est=8.623e-01 ; t=5.000e+01, est=8.518e-01 ; t=6.100e+01, est=8.426e-01 ; t=6.300e+01, est=8.389e-01 ; t=7.300e+01, est=8.339e-01 ; t=7.800e+01, est=8.259e-01 ; t=8.400e+01, est=8.229e-01 ; t=8.500e+01, est=8.210e-01 ; t=1.000e+02, est=8.210e-01 ; t=1.010e+02, est=7.799e-01 ; t=1.020e+02, est=7.799e-01 ; t=1.030e+02, est=7.019e-01 ; t=1.230e+02, est=7.019e-01 ; t=1.250e+02, est=0.000e+00 "
NCT00274599," t=1.000e+00, est=9.951e-01 ; t=5.000e+00, est=9.926e-01 ; t=6.000e+00, est=9.889e-01 ; t=1.000e+01, est=9.852e-01 ; t=1.300e+01, est=9.803e-01 ; t=1.400e+01, est=9.766e-01 ; t=1.600e+01, est=9.729e-01 ; t=1.900e+01, est=9.704e-01 ; t=2.100e+01, est=9.655e-01 ; t=2.400e+01, est=9.618e-01 ; t=2.600e+01, est=9.569e-01 ; t=3.100e+01, est=9.520e-01 ; t=4.800e+01, est=9.446e-01 ; t=5.200e+01, est=9.409e-01 ; t=5.400e+01, est=9.347e-01 ; t=5.600e+01, est=9.261e-01 ; t=6.000e+01, est=9.224e-01 ; t=6.100e+01, est=9.200e-01 ; t=6.300e+01, est=9.200e-01 ; t=6.800e+01, est=9.126e-01 ; t=6.900e+01, est=9.101e-01 ; t=7.000e+01, est=9.052e-01 ; t=7.100e+01, est=9.039e-01 ; t=7.800e+01, est=9.002e-01 ; t=8.100e+01, est=8.978e-01 ; t=8.300e+01, est=8.941e-01 ; t=9.000e+01, est=8.916e-01 ; t=1.380e+02, est=8.916e-01 "
NCT00274612," t=1.000e+00, est=9.975e-01 ; t=1.100e+01, est=9.913e-01 ; t=1.300e+01, est=9.863e-01 ; t=1.400e+01, est=9.825e-01 ; t=1.700e+01, est=9.788e-01 ; t=1.900e+01, est=9.775e-01 ; t=2.100e+01, est=9.738e-01 ; t=2.300e+01, est=9.725e-01 ; t=2.400e+01, est=9.700e-01 ; t=3.200e+01, est=9.663e-01 ; t=3.400e+01, est=9.638e-01 ; t=4.400e+01, est=9.625e-01 ; t=4.500e+01, est=9.600e-01 ; t=4.700e+01, est=9.576e-01 ; t=5.300e+01, est=9.551e-01 ; t=5.500e+01, est=9.426e-01 ; t=5.600e+01, est=9.338e-01 ; t=6.100e+01, est=9.276e-01 ; t=6.400e+01, est=9.201e-01 ; t=6.900e+01, est=9.151e-01 ; t=8.300e+01, est=9.063e-01 ; t=8.500e+01, est=9.038e-01 ; t=8.900e+01, est=9.038e-01 ; t=9.100e+01, est=9.012e-01 ; t=9.300e+01, est=9.012e-01 ; t=9.500e+01, est=8.999e-01 ; t=9.600e+01, est=8.971e-01 ; t=1.310e+02, est=8.971e-01 "
NCT00277264," t=1.000e+00, est=9.967e-01 ; t=5.000e+00, est=9.858e-01 ; t=6.000e+00, est=9.781e-01 ; t=1.000e+01, est=9.693e-01 ; t=1.400e+01, est=9.485e-01 ; t=3.000e+01, est=9.244e-01 ; t=5.400e+01, est=9.025e-01 ; t=7.200e+01, est=8.927e-01 ; t=7.500e+01, est=8.883e-01 ; t=7.600e+01, est=8.806e-01 ; t=7.800e+01, est=8.740e-01 ; t=1.010e+02, est=8.620e-01 ; t=1.130e+02, est=8.499e-01 ; t=1.400e+02, est=8.390e-01 ; t=1.460e+02, est=8.313e-01 ; t=1.670e+02, est=8.182e-01 ; t=2.030e+02, est=8.083e-01 ; t=2.110e+02, est=7.985e-01 ; t=2.260e+02, est=7.886e-01 ; t=2.470e+02, est=7.798e-01 ; t=2.700e+02, est=7.766e-01 ; t=2.740e+02, est=7.722e-01 ; t=2.870e+02, est=7.700e-01 ; t=3.140e+02, est=7.700e-01 ; t=3.220e+02, est=7.643e-01 ; t=3.340e+02, est=7.630e-01 ; t=3.350e+02, est=7.594e-01 ; t=3.930e+02, est=7.594e-01 "
NCT00321854," t=2.000e+00, est=9.981e-01 ; t=2.700e+01, est=9.776e-01 ; t=3.500e+01, est=9.645e-01 ; t=5.100e+01, est=9.533e-01 ; t=6.100e+01, est=9.364e-01 ; t=8.300e+01, est=9.178e-01 ; t=9.200e+01, est=8.972e-01 ; t=1.010e+02, est=8.935e-01 ; t=1.190e+02, est=8.729e-01 ; t=1.400e+02, est=8.673e-01 ; t=1.600e+02, est=8.542e-01 ; t=1.690e+02, est=8.411e-01 ; t=1.850e+02, est=8.336e-01 ; t=1.970e+02, est=8.224e-01 ; t=2.220e+02, est=8.112e-01 ; t=2.310e+02, est=8.019e-01 ; t=2.460e+02, est=8.000e-01 ; t=2.530e+02, est=7.888e-01 ; t=2.940e+02, est=7.700e-01 ; t=3.120e+02, est=7.530e-01 ; t=3.430e+02, est=7.472e-01 ; t=3.520e+02, est=7.384e-01 ; t=3.640e+02, est=7.384e-01 ; t=3.870e+02, est=7.290e-01 ; t=4.120e+02, est=7.290e-01 ; t=4.160e+02, est=7.235e-01 ; t=5.000e+02, est=7.235e-01 "
NCT00384930," t=2.000e+00, est=9.953e-01 ; t=5.000e+00, est=9.934e-01 ; t=6.000e+00, est=9.886e-01 ; t=8.000e+00, est=9.839e-01 ; t=1.100e+01, est=9.801e-01 ; t=1.300e+01, est=9.754e-01 ; t=2.600e+01, est=9.640e-01 ; t=2.700e+01, est=9.602e-01 ; t=2.800e+01, est=9.489e-01 ; t=2.900e+01, est=9.413e-01 ; t=3.200e+01, est=9.337e-01 ; t=3.300e+01, est=9.290e-01 ; t=3.500e+01, est=9.280e-01 ; t=3.700e+01, est=9.223e-01 ; t=4.700e+01, est=9.148e-01 ; t=4.900e+01, est=9.110e-01 ; t=5.300e+01, est=9.081e-01 ; t=5.500e+01, est=9.044e-01 ; t=5.600e+01, est=8.968e-01 ; t=5.700e+01, est=8.920e-01 ; t=5.900e+01, est=8.883e-01 ; t=6.300e+01, est=8.854e-01 ; t=6.600e+01, est=8.797e-01 ; t=7.000e+01, est=8.759e-01 ; t=7.100e+01, est=8.731e-01 ; t=8.200e+01, est=8.672e-01 ; t=8.400e+01, est=8.616e-01 ; t=1.920e+02, est=8.616e-01 "
NCT00402233," t=3.000e+00, est=9.968e-01 ; t=4.000e+00, est=9.904e-01 ; t=1.100e+01, est=9.871e-01 ; t=1.300e+01, est=9.807e-01 ; t=1.600e+01, est=9.743e-01 ; t=1.700e+01, est=9.711e-01 ; t=1.800e+01, est=9.582e-01 ; t=2.000e+01, est=9.550e-01 ; t=2.200e+01, est=9.357e-01 ; t=2.400e+01, est=9.325e-01 ; t=2.500e+01, est=9.293e-01 ; t=2.700e+01, est=9.260e-01 ; t=2.800e+01, est=9.228e-01 ; t=3.100e+01, est=9.196e-01 ; t=3.200e+01, est=9.164e-01 ; t=3.400e+01, est=9.132e-01 ; t=3.500e+01, est=9.068e-01 ; t=4.200e+01, est=9.035e-01 ; t=4.500e+01, est=9.003e-01 ; t=4.900e+01, est=8.971e-01 ; t=5.100e+01, est=8.939e-01 ; t=6.200e+01, est=8.907e-01 ; t=6.700e+01, est=8.875e-01 ; t=6.800e+01, est=8.842e-01 ; t=7.000e+01, est=8.810e-01 ; t=1.000e+02, est=8.810e-01 "
